geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
STN 336	38.0611111111111	38.0611111111111	-122.278	-122.278
STN 334	38.0763888888889	38.0763888888889	-122.338	-122.338
STN 335	38.0711111111111	38.0711111111111	-122.324	-122.324
STN 716	38.2384722222222	38.2384722222222	-121.684777777778	-121.684777777778
STN 719	38.3333888888889	38.3333888888889	-121.647527777778	-121.647527777778
STN 721	38.2684444444444	38.2684444444444	-121.703083333333	-121.703083333333
STN 723	38.2372222222222	38.2372222222222	-121.673055555556	-121.673055555556
STN 795	38.5375833333333	38.5375833333333	-121.584638888889	-121.584638888889
STN 796	38.4735555555556	38.4735555555556	-121.584444444444	-121.584444444444
STN 797	38.4047222222222	38.4047222222222	-121.615611111111	-121.615611111111
Suisun MZ2	38.1099318248	38.1099318248	-121.890147941	-121.890147941
Suisun BY3	38.2111116489	38.2111116489	-122.044455412999	-122.044455412999
Suisun DV2	38.2028488162	38.2028488162	-121.907822216	-121.907822216
Suisun NS2	38.1834015211999	38.1834015211999	-121.925783143999	-121.925783143999
Suisun DV3	38.1986301242	38.1986301242	-121.915573053	-121.915573053
Suisun BY1	38.2114828869	38.2114828869	-122.054402489	-122.054402489
Suisun SU4	38.1266574359	38.1266574359	-122.081375354	-122.081375354
Suisun PT1	38.2218957913	38.2218957913	-122.048230511	-122.048230511
Suisun NS3	38.1723923727	38.1723923727	-121.928698002	-121.928698002
Suisun SU1B	38.2094781746	38.2094781746	-122.034726357	-122.034726357
Suisun DV1	38.207065942	38.207065942	-121.9103381	-121.9103381
Suisun SU1	38.2178674036999	38.2178674036999	-122.030960108	-122.030960108
Suisun SU2	38.1983728928	38.1983728928	-122.043382894999	-122.043382894999
Suisun SB1	38.2012984241999	38.2012984241999	-122.030714754	-122.030714754
Suisun MZ6	38.1627580241	38.1627580241	-121.929291959	-121.929291959
Suisun SB2	38.1966381049	38.1966381049	-122.029085999	-122.029085999
Suisun GY2	38.1077342812999	38.1077342812999	-122.097935410999	-122.097935410999
